Name,City,State
BITS Goa - BITS Pilani,Chicalim,Goa
"SRM Institute of Science and Technology, Vadapalani Campus",Vadapalani,Tamil Nadu
IIIT Hyderabad - International Institute of Information Technology,Hyderabad,Telangana
DEI Agra - Dayalbagh Educational Institute,Agra,Uttar Pradesh
"CMR University, Bangalore",Bangalore,Karnataka
MSRUAS Bangalore - MS Ramaiah University of Applied Sciences,Bangalore,Karnataka
Thapar University - Thapar Institute of Engineering and Technology,Patiala,Punjab
"MIT WPU Faculty of Engineering, Pune",Pune,Maharashtra
AKGEC Ghaziabad - Ajay Kumar Garg Engineering College,Ghaziabad,Uttar Pradesh
"Thiagarajar College of Engineering, Madurai",Madurai,Tamil Nadu
"Ravenshaw University, Cuttack",Cuttack,Odisha
"Dr MGR Educational and Research Institute, Chennai",Chennai,Tamil Nadu
"University College of Engineering, Osmania University, Hyderabad",Hyderabad,Telangana
"New Horizon College of Engineering, Bangalore",Bangalore,Karnataka
KIIT University - Kalinga Institute of Industrial Technology,Bhubaneshwar,Odisha
"Siddaganga Institute of Technology, Tumkur",Tumakuru,Karnataka
"School of Computer Science, UPES Dehradun - School of Computer Science, University of Petroleum and Energy Studies",Dehradun,Uttarakhand
NIT Rourkela - National Institute of Technology,Rourkela,Odisha
DAIICT Gandhinagar - Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar,Gujarat
MNIT Jaipur - Malaviya National Institute of Technology,Jaipur,Rajasthan
IET Lucknow - Institute of Engineering and Technology,Lucknow,Uttar Pradesh
IIT Hyderabad - Indian Institute of Technology,Hyderabad,Telangana
"PES University, Bangalore",Bangalore,Karnataka
"Sinhgad College of Engineering, Pune",Pune,Maharashtra
GECA Aurangabad - Government College of Engineering,Aurangabad,Maharashtra
SPIT Mumbai - Sardar Patel Institute of Technology,Mumbai,Maharashtra
"Aligarh Muslim University, Aligarh",Aligarh,Uttar Pradesh
Karunya University - Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu
NSUT Delhi - Netaji Subhas University of Technology,New Delhi,Delhi
SLIET Longowal - Sant Longowal Institute of Engineering and Technology,Longowal,Punjab
NIT Calicut - National Institute of Technology,Kattangal,Kerala
"AAA College of Engineering and Technology, Thiruthangal",Virudhunagar,Tamil Nadu
"Haldia Institute of Technology, Haldia",Haldia,West Bengal
"Indo German Tool Room, Aurangabad",Aurangabad,Maharashtra
IIT Gandhinagar - Indian Institute of Technology,Gandhinagar,Gujarat
UIET KUK - University Institute of Engineering and Technology Kurukshetra University,Kurukshetra,Haryana
"Aditya Engineering College, Surampalem",Surampalem,Andhra Pradesh
"Sri Krishna College of Engineering and Technology, Coimbatore",Coimbatore,Tamil Nadu
"BS Abdur Rahman Crescent Institute of Science and Technology, Chennai",Chennai,Tamil Nadu
"Vardhaman College of Engineering, Hyderabad",Hyderabad,Telangana
PCCOE Pune - Pimpri Chinchwad College of Engineering,Pune,Maharashtra
JNU Delhi - Jawaharlal Nehru University,New Delhi,Delhi
NITIE Mumbai - National Institute of Industrial Engineering,Mumbai,Maharashtra
SVUCE Tirupati - Sri Venkateswara University College of Engineering,Tirupati,Andhra Pradesh
GEC Thrissur - Government Engineering College,Thrissur,Kerala
"Christ University, Bangalore",Bangalore,Karnataka
"SRM Institute of Science and Technology, Ramapuram Campus",Ramapuram,Tamil Nadu
"Sir JJ College of Architecture, Mumbai",Mumbai,Maharashtra
"Government Polytechnic, Pune",Pune,Maharashtra
"Vasavi College of Engineering, Hyderabad",Hyderabad,Telangana
"Walchand College of Engineering, Sangli",Sangli,Maharashtra
"GL Bajaj Institute of Technology and Management, Greater Noida",Greater Noida,Uttar Pradesh
"Coimbatore Institute of Technology, Coimbatore",Coimbatore,Tamil Nadu
"RVR and JC College of Engineering, Guntur",Guntur,Andhra Pradesh
"GIET University, Gunupur",Gunupur,Odisha
MRCET Hyderabad - Malla Reddy College of Engineering and Technology,Hyderabad,Telangana
"Government Polytechnic, Nagpur",Nagpur,Maharashtra
"Central University of Tamil Nadu, Thiruvarur",Thiruvarur,Tamil Nadu
NIE Mysore - The National Institute of Engineering,Mysuru,Karnataka
IERT Allahabad - Institute of Engineering and Rural Technology,Allahabad,Uttar Pradesh
RSET Kochi - Rajagiri School of Engineering and Technology,Kochi,Kerala
JNTUCEK Kakinada - Jawaharlal Nehru Technological University College of Engineering,Kakinada,Andhra Pradesh
"Dayananda Sagar University, Bangalore",Bangalore,Karnataka
"TKM College of Engineering, Kollam",Kollam,Kerala
"Government Polytechnic, Lucknow",Lucknow,Uttar Pradesh
MANIT Bhopal - Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh
"Tezpur University, Tezpur",Tezpur,Assam
"LJ Polytechnic, Ahmedabad",Ahmedabad,Gujarat
VNR VJIET Hyderabad - VNR Vignana Jyothi Institute of Engineering and Technology,Hyderabad,Telangana
IIT Bhubaneswar - Indian Institute of Technology,Bhubaneshwar,Odisha
SSN College of Engineering - Sri Sivasubramaniya Nadar College of Engineering,Kelambakkam,Tamil Nadu
"Anurag Group of Institutions, Ghatkesar",Hyderabad,Telangana
"PSG Polytechnic College, Coimbatore",Coimbatore,Tamil Nadu
NIT Raipur - National Institute of Technology,Raipur,Chhattisgarh
"Banasthali Vidyapith, Banasthali",Jaipur,Rajasthan
"YMCA Faridabad - JC Bose University of Science and Technology, YMCA",Faridabad,Haryana
BMSIT Bangalore - BMS Institute of Technology and Management,Bangalore,Karnataka
"CEPT University, Ahmedabad",Ahmedabad,Gujarat
"Dayananda Sagar Academy of Technology and Management, Bangalore",Bangalore,Karnataka
"Shiv Nadar University, Greater Noida",Greater Noida,Uttar Pradesh
GBPUAT Pantnagar - College of Technology GB Pant University of Agriculture and Technology,Pantnagar,Uttarakhand
BIT Durg - Bhilai Institute of Technology,Durg,Chhattisgarh
"Savitribai Phule Pune University, Pune",Pune,Maharashtra
KLS GIT Belagavi - KLS Gogte Institute of Technology,Belgaum,Karnataka
MMMUT Gorakhpur - Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh
"Bhagalpur College of Engineering, Bhagalpur",Bhagalpur,Bihar
GNDEC Ludhiana - Guru Nanak Dev Engineering College,Ludhiana,Punjab
VIIT Pune - Vishwakarma Institute of Information Technology,Pune,Maharashtra
"NMAM Institute of Technology, Karkala Taluk",Karkala,Karnataka
"Koneru Lakshmaiah Education Foundation, Guntur",Guntur,Andhra Pradesh
"Government College of Engineering, Karad",Karad,Maharashtra
DIAT Pune - Defence Institute of Advanced Technology,Pune,Maharashtra
"Government College of Engineering, Amravati",Amravati,Maharashtra
DYPIET Pimpri - Dr DY Patil Institute of Technology,Pune,Maharashtra
"DY Patil College of Engineering, Pune",Pimpri-Chinchwad,Maharashtra
GMRIT Rajam - GMR Institute of Technology,Srikakulam,Andhra Pradesh
"Amity School of Engineering, Noida",Noida,Uttar Pradesh
IIIT Allahabad - Indian Institute of Information Technology,Allahabad,Uttar Pradesh
"Cluster Innovation Centre, University of Delhi, Delhi",New Delhi,Delhi
PICT Pune - SCTR's Pune Institute of Computer Technology,Pune,Maharashtra
"Shri Ramdeobaba College of Engineering and Management, Nagpur",Nagpur,Maharashtra
"Sharda University, Greater Noida",Greater Noida,Uttar Pradesh
"Government Polytechnic, Mumbai",Mumbai,Maharashtra
JEC Jabalpur - Jabalpur Engineering College,Jabalpur,Madhya Pradesh
"OPJS University, Rajgarh",Churu,Rajasthan
"The Institutions of Engineers India, Kolkata",Kolkata,West Bengal
BVM Engineering College - Birla Vishvakarma Mahavidyalaya,Anand,Gujarat
SASTRA University Thanjavur - Shanmugha Arts Science Technology Research and Academy,Thanjavur,Tamil Nadu
"Mepco Schlenk Engineering College, Sivakasi",Melamattur,Tamil Nadu
"Bennett University, Greater Noida",Greater Noida,Uttar Pradesh
AIACTR Delhi - Ambedkar Institute of Advanced Communication Technologies and Research,New Delhi,Delhi
"Vidyalankar Institute of Technology, Mumbai",Mumbai,Maharashtra
"Rajalakshmi Engineering College, Chennai",Chennai,Tamil Nadu
"Graphic Era University, Dehradun",Dehradun,Uttarakhand
MAIT Delhi - Maharaja Agrasen Institute of Technology,New Delhi,Delhi
"Sree Vidyanikethan Engineering College, Tirupati",Tirupati,Andhra Pradesh
NIT Andhra Pradesh - National Institute of Technology,Tadepalligudem,Andhra Pradesh
IARE Hyderabad - Institute of Aeronautical Engineering,Hyderabad,Telangana
"KLE Technological University, Hubballi",Hubli,Karnataka
"Vivekanand Education Society's Institute of Technology, Chembur",Mumbai,Maharashtra
"The Oxford College of Engineering, Bangalore",Bangalore,Karnataka
"Ambedkar Institute of Technology, Delhi",New Delhi,Delhi
"Sandip University, Nashik",Nashik,Maharashtra
"Malnad College of Engineering, Hassan",Hassan,Karnataka
SIMS Pune - Symbiosis Institute of Management Studies,Pune,Maharashtra
CET Bhubaneswar - College of Engineering and Technology,Bhubaneshwar,Odisha
"Goa College of Engineering, Farmagudi",Ponda,Goa
IIIT Bangalore - International Institute of Information Technology,Bangalore,Karnataka
"Vishwakarma Government Engineering College, Ahmedabad",Ahmedabad,Gujarat
"ABES Engineering College, Ghaziabad",Ghaziabad,Uttar Pradesh
"AMC Engineering College, Bangalore",Bangalore,Karnataka
NIT Delhi - National Institute of Technology,New Delhi,Delhi
"Galgotias University, Greater Noida",Greater Noida,Uttar Pradesh
"Government Polytechnic, Ahmedabad",Ahmedabad,Gujarat
IGDTUW Delhi - Indira Gandhi Delhi Technical University for Women,New Delhi,Delhi
"Vivekananda Global University, Jaipur",Jaipur,Rajasthan
MGIT Hyderabad - Mahatma Gandhi Institute of Technology,Hyderabad,Telangana
GGSIPU Delhi - Guru Gobind Singh Indraprastha University,New Delhi,Delhi
