Name,City,State
"Bhubanananda Orissa School of Engineering, Cuttack",Cuttack,Odisha
"School of Business Management SVKM's Narsee Monjee Institute of Management Studies, Mumbai",Mumbai,Maharashtra
UIIT Shimla - University Institute of Information Technology,Shimla,Himachal Pradesh
"CMJ University, Shillong",Shillong,Meghalaya
"Malla Reddy Institute of Technology and Sciences, Secunderabad",Hyderabad,Telangana
"Teerthanker Mahaveer University, Moradabad",Bagadpur,Uttar Pradesh
"PT Lee Chengalvaraya Naicker Polytechnic College, Chennai",Chennai,Tamil Nadu
IIIT Sri City - Indian Institute of Information Technology,Sri City,Andhra Pradesh
"SCMS College of Polytechnics, Ernakulam",Ernakulam,Kerala
"IFTM University, Moradabad",Lodhipur Rajput,Uttar Pradesh
IIIT Kalyani - Indian Institute of Information Technology,Kanchrapara,West Bengal
"Kamdhenu University, Gandhinagar",Gandhinagar,Gujarat
"Asansol Engineering College, Asansol",Asansol,West Bengal
"Vidya Prasarak Mandal's Polytechnic, Thane",Thane,Maharashtra
"JSPM Narhe Technical Campus, Pune",Pune,Maharashtra
"Siliguri Government Polytechnic, Jabrabhita",Siliguri,West Bengal
HPTU Hamirpur - Himachal Pradesh Technical University,Hamirpur,Himachal Pradesh
"Rajiv Gandhi Institute For Steel Technology, Bellary",Bellary,Karnataka
"GB Pant Institute of Technology, New Delhi",New Delhi,Delhi
"HRH The Prince of Wales Institute of Engineering and Technology, Jorhat",Jorhat,Assam
"Alva's Institute of Engineering and Technology, Mangalore",Mangalore,Karnataka
"Terna Engineering college, Nerul - Terna Public Charitable Trust's Terna Engineering College",Navi Mumbai,Maharashtra
FGIET Raebareli - Feroze Gandhi Institute of Engineering and Technology,Raebareli,Uttar Pradesh
"Thakur Polytechnic, Mumbai",Mumbai,Maharashtra
"Government Polytechnic, Dehradun",Dehradun,Uttarakhand
"MJ College of Engineering and Technology, Hyderabad",Hyderabad,Telangana
"School of Aeronautics, Neemrana",Neemrana,Rajasthan
"Gayatri Vidya Parishad College for Degree and PG Courses, School of Engineering, Visakhapatnam",Visakhapatnam,Andhra Pradesh
"Uma Charan Patnaik Engineering School, Berhampur",Brahmapur,Odisha
"KE Society's Rajarambapu Institute of Technology, Sangli",Uran Islampur,Maharashtra
"Government Polytechnic, Jalgaon",Jalgaon,Maharashtra
"Poornima College of Engineering, Jaipur",Jaipur,Rajasthan
"Acropolis Institute of Technology and Research, Indore",Indore,Madhya Pradesh
"Amrutvahini College of Engineering, Ahmednagar",Sangamner,Maharashtra
"SIES Graduate School of Technology, Navi Mumbai",Navi Mumbai,Maharashtra
"Rewa Engineering College, Rewa",Rewa,Madhya Pradesh
"Dr S and SS Ghandhy Government Engineering College, Surat",Surat,Gujarat
"Chhatrapati Shahu Ji Maharaj University, Kanpur",Kanpur,Uttar Pradesh
"Nagarjuna College of Engineering and Technology, Bangalore",Muduguriki,Karnataka
"Government Polytechnic, Gorakhpur",Gorakhpur,Uttar Pradesh
"Samundra Institute of Maritime Studies, Pune",Pune,Maharashtra
"Yenepoya Institute of Technology, Mangalore",Mangalore,Karnataka
"IDC IIT Bombay - Industrial Design Centre, Indian Institute of Technology",Mumbai,Maharashtra
"CV Raman Polytechnic, Bhubaneswar",Durgapur,Odisha
"Sir Padampat Singhania University, Udaipur",Udaipur,Rajasthan
Amity University Gurgaon - Amity University,Gurugram,Haryana
"RIMT University, Gobindgarh",Gobindgarh,Punjab
"Poornima University, Jaipur",Jaipur,Rajasthan
"Sir Chhotu Ram Institute of Engineering and Technology, Meerut",Meerut,Uttar Pradesh
"Jharkhand Rai University, Ranchi",Ranchi,Jharkhand
"Sri Siddhartha Institute of Technology, Tumkur",Tumakuru,Karnataka
"Jyothi Engineering College, Thrissur",Thrissur,Kerala
Allahabad University - University of Allahabad Allahabad,Allahabad,Uttar Pradesh
"Kalaignar Karunanidhi Institute of Technology, Coimbatore",Coimbatore,Tamil Nadu
"All India Institute of Hygiene and Public Health, Kolkata",Kolkata,West Bengal
NIT Meghalaya - National Institute of Technology,Shillong,Meghalaya
"MGM's College of Engineering, Nanded",Nanded,Maharashtra
"United College of Engineering and Research, Allahabad",Newada Samogar,Uttar Pradesh
BUEST Baddi - Baddi University of Emerging Sciences and Technology,Baddi,Himachal Pradesh
"Dibrugarh University, Dibrugarh",Dibrugarh,Assam
"Government Polytechnic, Visakhapatnam",Visakhapatnam,Andhra Pradesh
"Adi Shankara Institute of Engineering and Technology, Kalady",Kalady,Kerala
"Sri Satya Sai University of Technology and Medical Sciences, Sehore",Sehore,Madhya Pradesh
"Agnel Polytechnic, Vashi",Navi Mumbai,Maharashtra
"Mansinhbhai Institute of Dairy and Food Technology, Mehsana",Mehsana,Gujarat
"Government Tool Room and Training Centre, Bangalore",Bangalore,Karnataka
NIT Sikkim - National Institute of Technology,Barfung,Sikkim
HITAM Hyderabad - Hyderabad Institute of Technology and Management,Hyderabad,Telangana
"Agricultural Engineering College and Research Institute, Kumulur",Kumulur,Tamil Nadu
"Alagappa University, Karaikudi",Karaikudi,Tamil Nadu
"DY Patil International University, Akurdi",Pune,Maharashtra
"VVP Engineering College, Rajkot",Vajdi,Gujarat
"Nehru Institute of Engineering and Technology, Coimbatore",Thirumalayampalayam,Tamil Nadu
"National Institute of Electronics and Information Technology, Aurangabad",Aurangabad,Maharashtra
"Ramco Institute of Technology, Rajapalayam",Rajapalayam,Tamil Nadu
"Cooch Behar Polytechnic, Cooch Behar",Cooch Behar,West Bengal
"Vivekanand Education Society's Polytechnic, Chembur",Mumbai,Maharashtra
"Indian Maritime University, Navi Mumbai Campus",Navi Mumbai,Maharashtra
"Shri Ramdevi Ramdayal Tripathi Mahila Polytechnic, Kanpur",Kanpur,Uttar Pradesh
"Government Engineering College, Sreekrishnapuram",Sreekrishnapuram,Kerala
"Dr DY Patil College of Architecture, Pune",Pune,Maharashtra
MJCET Hyderabad - Muffakham Jah College of Engineering and Technology,Hyderabad,Telangana
"Meera Bai Institute of Technology, Delhi",New Delhi,Delhi
IIIT Kottayam - Indian Institute of Information Technology,Kottayam,Kerala
"RV College of Architecture, Bangalore",Bangalore,Karnataka
"Malla Reddy Engineering College for Women, Secunderabad",Secunderabad,Telangana
"Government CPC Polytechnic, Mysore",Mysuru,Karnataka
"MAEER's MIT Polytechnic, Pune",Pune,Maharashtra
"School of Petroleum Technology, Pandit Deendayal Petroleum University, Gandhinagar",Gandhinagar,Gujarat
"VIT-AP University, Amaravati",Inavolu,Andhra Pradesh
"St John College of Engineering and Management, Palghar",Palghar,Maharashtra
"Government Polytechnic, Sonipat",Sonipat,Haryana
"Aditya College of Engineering and Technology, Surampalem",Surampalem,Andhra Pradesh
"MBS School of Planning and Architecture, Delhi",New Delhi,Delhi
"MG Polytechnic, Hathras",Hathras,Uttar Pradesh
CIPET Lucknow - Central Institute of Plastics Engineering and Technology,Lucknow,Uttar Pradesh
"Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore",Coimbatore,Tamil Nadu
"Government College of Engineering Textile Technology, Serampore",Serampore,West Bengal
"Government Polytechnic, Awasari",Awasari,Maharashtra
"JS Institute of Management and Technology, Shikohabad",Shikohabad,Uttar Pradesh
"Raghu Engineering College, Visakhapatnam",Visakhapatnam,Andhra Pradesh
USICT Delhi - University School of Information Communication and Technology,Delhi,Delhi
"Vidyavardhini's College of Engineering and Technology, Vasai",Vasai,Maharashtra
"TKM Institute of Technology, Kollam",Kollam,Kerala
"Sahyadri College of Engineering and Management, Mangalore",Mangaluru,Karnataka
"CSIR-Central ElectroChemical Research Institute, Karaikudi",Karaikudi,Tamil Nadu
"Gaya College of Engineering, Gaya",Gaya,Bihar
PVPIT Budhgaon - Padmabhooshan Vasantraodada Patil Institute of Technology,Sangli,Maharashtra
"Shri Vaishnav Institute of Technology and Science, Indore",Indore,Madhya Pradesh
"BITT Polytechnic, Ranchi",Getlatu,Jharkhand
"KIET School of Engineering, Ghaziabad",Muradnagar,Uttar Pradesh
"Budge Budge Institute of Technology, Kolkata",Kolkata,West Bengal
IIT Mandi - Indian Institute of Technology,Suran,Himachal Pradesh
"GKM College of Engineering and Technology, Chennai",Chennai,Tamil Nadu
"Jeppiaar Engineering College, Chennai",Chennai,Tamil Nadu
IKG PTU Jalandhar - IK Gujral Punjab Technical University,Kapurthala,Punjab
"Dhole Patil College of Engineering, Pune",Pune,Maharashtra
"School of Planning and Architecture University of Mysore, Mysore",Mysuru,Karnataka
"Roorkee College of Engineering, Roorkee",Roorkee,Uttarakhand
"Rajasthan Institute of Engineering and Technology, Jaipur",Jaipur,Rajasthan
"Echelon Institute of Technology, Faridabad",Faridabad,Haryana
"Bengal Institute of Technology, Kolkata",Kolkata,West Bengal
"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Navi Mumbai,Maharashtra
RMLAU Faizabad - Dr Ram Manohar Lohia Avadh University,Faizabad,Uttar Pradesh
GCECT Kolkata - Government College of Engineering and Ceramic Technology,Kolkata,West Bengal
"PES Polytechnic, Bangalore",Bangalore,Karnataka
"Bajaj Institute of Technology, Wardha",Wardha,Maharashtra
"Acharya NG Ranga Agricultural University, Guntur",Guntur,Andhra Pradesh
SISTEC Bhopal - Sagar Institute of Science and Technology,Bhopal,Madhya Pradesh
NIET Greater Noida - Noida Institute of Engineering and Technology,Greater Noida,Uttar Pradesh
"KMCT Polytechnic College, Kozhikode",Thazhecode,Kerala
BUIT Bhopal - Barkatullah University Institute of Technology Barkatullah University,Bhopal,Madhya Pradesh
"NDMVP Samaj's Karmaveer Adv Baburao Ganpatrao Thakare College of Engineering, Nashik",Nashik,Maharashtra
"CIT Sandwich Polytechnic College, Coimbatore",Coimbatore,Tamil Nadu
"MCTs Rajiv Gandhi Institute of Technology, Mumbai",Mumbai,Maharashtra
"Sreyas Institute of Engineering and Technology, Hyderabad",Hyderabad,Telangana
DYPCOE Ambi - DY Patil College of Engineering,Pune,Maharashtra
"Kavikulguru Kalidas Sanskrit University, Nagpur",Ramtek,Maharashtra
"Jain College of Engineering, Belgaum",Belgaum,Karnataka
"Mehr Chand Polytechnic College, Jalandhar",Jalandhar,Punjab
"National Institute of Aeronautical Engineering Research and Management, New Delhi",New Delhi,Delhi
"Cusrow Wadia Institute of Technology, Pune",Pune,Maharashtra
"Sapthagiri College of Engineering, Bangalore",Myadarahalli,Karnataka
"Abhinav Education Society's College of Engineering and Technology, Wadwadi",Satara,Maharashtra
"JNTUH College of Engineering, Manthani",Pannur,Telangana
"Dr DY Patil Biotechnology and Bioinformatics Institute, Navi Mumbai",Navi Mumbai,Maharashtra
"Government College of Engineering, Keonjhar",Keonjhar,Odisha
"Government Polytechnic, Miraj",Miraj,Maharashtra
"Amrita Vishwa Vidyapeetham, Amritapuri Campus",Vallikavu,Kerala
SCSVMV University - Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Kanchipuram,Tamil Nadu
IIITDM Kurnool - Indian Institute of Information Technology Design and Manufacturing,Kurnool,Andhra Pradesh
IIT Bhilai - Indian Institute of Technology,Bhilai,Chhattisgarh
"NDMVP Samajs College of Architecture, Nashik",Nashik,Maharashtra
"Atria Institute of Technology, Bangalore",Bangalore,Karnataka
"Vidyavardhinis Bhausaheb Vartak Polytechnic, Thane",Vasai,Maharashtra
"Canara Engineering College, Mangalore",Mangalore,Karnataka
"PRIST University, Puducherry Campus",Thavalakuppam,Puducherry
CVRU Bilaspur - Dr CV Raman University,Bilaspur,Chhattisgarh
IIPE Visakhapatnam - Indian Institute of Petroleum and Energy,Visakhapatnam,Andhra Pradesh
"Kamla Nehru Mahavidyalaya, Nagpur",Nagpur,Maharashtra
"Seshasayee Institute of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu
NIT Manipur - National Institute of Technology,Imphal,Manipur
"Millia Institute of Technology, Purnea",Purnea,Bihar
"Pakur Polytechnic, Pakur",Kalajora,Jharkhand
"Government Polytechnic College, Nagercoil",Nagercoil,Tamil Nadu
"Government Engineering College, Modasa",Modasa,Gujarat
GEC Bhubaneswar - Gandhi Engineering College,Badaraghunathpur,Odisha
"Shree Guru Gobind Singh Tricentenary University, Gurgaon",Gurgaon,Haryana
"Vidya Academy of Science and Technology, Thrissur",Thrissur,Kerala
"Dhanalakshmi College of Engineering, Chennai",Chennai,Tamil Nadu
"Chaibasa Engineering College, Chaibasa",Kelende,Jharkhand
"Muthiah Polytechnic College, Annamalainagar",Kezhanuvampattu,Tamil Nadu
"Dr DY Patil College of Agricultural Engineering and Technology, Kolhapur",Kolhapur,Maharashtra
"Satyug Darshan Institute of Engineering and Technology, Faridabad",Chakmajai,Haryana
"TIT College, Bhopal",Bhopal,Madhya Pradesh
"MIT School of Bioengineering Sciences and Research, Pune",Pune,Maharashtra
"Sri Vasavi Engineering College, Tadepalligudem",West Godavari,Andhra Pradesh
"Vedavyasa Institute of Technology, Malappuram",Kozhikode,Kerala
"JP Institute of Technology, Nalanda",Nalanda,Bihar
"Al Azhar Polytechnic College, Thodupuzha",Thodupuzha,Kerala
"Babaria Institute of Technology, Vadodara",Varanama,Gujarat
"Saveetha School of Engineering, Chennai",Kuthambakkam,Tamil Nadu
"Meenakshi Sundararajan Engineering College, Chennai",Chennai,Tamil Nadu
"PSG Institute of Advanced Studies, Coimbatore",Coimbatore,Tamil Nadu
"College of Engineering, Thalassery",Thalassery,Kerala
"Geethanjali College of Engineering and Technology, Keesara",Secunderabad,Telangana
"Kamaraj College of Engineering and Technology, Virudhunagar",Vellakulam,Tamil Nadu
"Laxmi Institute of Technology, Sarigam",Vapi,Gujarat
"Aditya Silver Oak Institute of Technology, Ahmedabad",Ahmedabad,Gujarat
"AP Shah Institute of Technology, Thane",Thane,Maharashtra
"Lucknow Polytechnic, Lucknow",Lucknow,Uttar Pradesh
"AC Patil College of Engineering, Navi Mumbai",Navi Mumbai,Maharashtra
Mody University - Mody University of Science and Technology,Sikar,Rajasthan
"JK Lakshmipat University, Jaipur",Jaipur,Rajasthan
"PDM University, Bahadurgarh",Bahadurgarh,Haryana
"Sanjay Ghodawat University, Kolhapur",Mangaonwadi,Maharashtra
"Government Polytechnic College, Thoothukudi",Thoothukudi,Tamil Nadu
CGC Landran - CGC College of Engineering Landran Campus,Landran,Punjab
"Institute of Engineering and Technology, Ahmedabad",Ahmedabad,Gujarat
KUK Kurukshetra - Kurukshetra University,Kurukshetra,Haryana
"Panimalar Polytechnic College, Chennai",Chennai,Tamil Nadu
"Government Polytechnic, Pen",Pen,Maharashtra
"KLE Dr MS Sheshgiri College of Engineering and Technology, Belgaum",Belagavi,Karnataka
"HKE Society's PDA College of Engineering, Gulbarga",Kalaburagi,Karnataka
"Xavier Institute of Polytechnic and Technology, Ranchi",Ranchi,Jharkhand
"Government Institute of Electronics, Secunderabad",Secunderabad,Telangana
"Dr Akhilesh Das Gupta Institute of Technology and Management, New Delhi",New Delhi,Delhi
IIIT Nagpur - Indian Institute of Information Technology,Nagpur,Maharashtra
"Government Institute of Printing Technology, Mumbai",Mumbai,Maharashtra
"Government College of Engineering and Leather Technology, Kolkata",Kolkata,West Bengal
"GITAM School of Technology, Hyderabad",Rudraram,Telangana
"Pearl Academy, West Delhi Campus, New Delhi",New Delhi,Delhi
"Gangadhar Meher University, Sambalpur",Sambalpur,Odisha
SVCE Bangalore - Sri Venkateshwara College of Engineering,Bangalore,Karnataka
"Dr DY Patil University, Navi Mumbai",Navi Mumbai,Maharashtra
IIT Goa - Indian Institute of Technology,Ponda,Goa
"LNCT University, Bhopal",Bhopal,Madhya Pradesh
"Parul Institute of Technology, Vadodara",Limda,Gujarat
"Agricultural College and Research Institute, Tamil Nadu Agricultural University, Coimbatore",Coimbatore,Tamil Nadu
"DG College of Architecture, Malappuram",Malappuram,Kerala
IISER Bhopal - Indian Institute of Science Education and Research,Bhopal,Madhya Pradesh
IIIT Dharwad - Indian Institute of Information Technology,Hubballi,Karnataka
PVPSIT Vijayawada - Prasad V Potluri Siddhartha Institute of Technology,Vijayawada,Andhra Pradesh
MVSR Engineering College - Maturi Venkata Subba Rao Engineering College,Hyderabad,Telangana
"Malabar College of Engineering and Technology, Thrissur",Pallur,Kerala
"Government Polytechnic College, Ambala",Ambala,Haryana
RGIPT Amethi - Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh
"Bharathidasan University, Tiruchirappalli",Tiruchirappalli,Tamil Nadu
"Adamas University, Kolkata",Kolkata,West Bengal
"College of Agricultural Engineering, Acharya NG Ranga Agricultural University, Bapatla",Guntur,Andhra Pradesh
"Atharva College of Engineering, Malad",Mumbai,Maharashtra
"Keltron Toolroom Research and Training Centre, Aroor",Kochi,Kerala
"Vel Tech, Chennai",Chennai,Tamil Nadu
"Shri Sant Gadge Baba College of Engineering and Technology, Bhusawal",Bhusawal,Maharashtra
"KK Wagh College of Agricultural Engineering and Technology, Nashik",Sinnar,Maharashtra
"Nitte School of Architecture, Planning and Design, Bangalore",Bangalore,Karnataka
"Agni College of Technology, Thalambur",Thalambur,Tamil Nadu
"Monad University, Hapur",Kastala Kasmabad,Uttar Pradesh
"Dhanalakshmi Srinivasan College of Engineering, Perambalur",Perambalur,Tamil Nadu
"Vidyalankar Polytechnic, Mumbai",Mumbai,Maharashtra
"DAV University, Jalandhar",Sarmastpur,Punjab
"Vignana Bharathi Institute of Technology, Ghatkesar",Ghatkesar,Telangana
"Jayawantrao Sawant College of Engineering, Pune",Pune,Maharashtra
"Christ College of Engineering, Thrissur",Thrissur,Kerala
"Government Engineering College, Hassan",Hassan,Karnataka
REC Ambedkar Nagar - Rajkiya Engineering College,Akbarpur,Uttar Pradesh
"Shillong Polytechnic, Shillong",Shillong,Meghalaya
"School of Architecture, IPS Academy, Indore",Indore,Madhya Pradesh
"Raja Bazar Science College, University of Calcutta, Kolkata",Kolkata,West Bengal
"Advanced College of Technology and Management, Palwal",Aurangabad,Haryana
BCET Gurdaspur - Beant College of Engineering and Technology,Gurdaspur,Punjab
"College of Agricultural Engineering, Acharya NG Ranga Agricultural University, Rajendranagar",Lam,Andhra Pradesh
"Mahatma Gandhi Mission's College of Engineering and Technology, Navi Mumbai",Navi Mumbai,Maharashtra
"Modern Education Society's College of Engineering, Pune",Pune,Maharashtra
"Netaji Subhash Engineering College, Garia",Garia,West Bengal
"Government Polytechnic, Solapur",Solapur,Maharashtra
"Aditya College of Technology and Science, Satna",Satna,Madhya Pradesh
"Manav Rachna University, Faridabad",Faridabad,Haryana
"Government Polytechnic, Nanded",Nanded,Maharashtra
"Kongu Polytechnic College, Erode",Perundurai,Tamil Nadu
"Indo German Tool Room, Ahmedabad",Ahmedabad,Gujarat
"Prasad Polytechnic, Jaunpur",Jaunpur,Uttar Pradesh
"College of Agricultural Engineering, Raichur",Raichur,Karnataka
"Panjab University, SSG Regional Centre, Hoshiarpur",Hoshiarpur,Punjab
JNGEC Sundernagar - Jawaharlal Nehru Government Engineering College,Sundernagar,Himachal Pradesh
"Ballarpur Institute of Technology, Chandrapur",Balharshah,Maharashtra
"Indian Institute of Handloom Technology, Salem",Salem,Tamil Nadu
"CMR Technical Campus, Hyderabad",Kandlakoi,Telangana
"Siddhartha Institute of Technology and Sciences, Ghatkesar",Hyderabad,Telangana
"Thiagarajar Polytechnic College, Salem",Salem,Tamil Nadu
"Government Polytechnic College, Kunnamkulam",Thrissur,Kerala
"Bhagwan Parshuram College of Engineering, Sonipat",Gohana,Haryana
"MVSR Engineering College, Hyderabad",Nadergul,Telangana
"Everest College of Engineering and Technology, Aurangabad",Aurangabad,Maharashtra
"Kashmir Government Polytechnic College, Srinagar",Srinagar,Jammu and Kashmir
"Government Polytechnic, Dhanbad",Dhanbad,Jharkhand
"Orissa School of Mining Engineering, Keonjhar, Orissa",Keonjhar,Odisha
"Government Girls Polytechnic, Lucknow",Lucknow,Uttar Pradesh
"Behala Government Polytechnic, Kolkata",Behala,West Bengal
"Bhoj Reddy Engineering College for Women, Hyderabad",Hyderabad,Telangana
Dr Rajendra Prasad Central Agricultural University Samastipur,Samastipur,Bihar
"Sanskriti University, Mathura",Mathura,Uttar Pradesh
"Sri Manakula Vinayagar Engineering College, Puducherry",Madagadipet,Puducherry
"Government Engineering College, Jagdalpur",Jagdalpur,Chhattisgarh
JNNCE Shimoga - Jawaharlal Nehru National College of Engineering,Shivamogga,Karnataka
"Nehru Institute of Technology, Coimbatore",Coimbatore,Tamil Nadu
"Adesh Institute of Engineering and Technology, Faridkot",Faridkot,Punjab
"Hindusthan Institute of Technology, Coimbatore",Malumichampatty,Tamil Nadu
"Rai University, Ahmedabad",Saroda,Gujarat
"Dr Balasaheb Sawant Konkan Krishi Vidyapeeth, Dapoli",Ratnagiri,Maharashtra
UIT Burdwan - University Institute of Technology The University of Burdwan,Burdwan,West Bengal
JNEC Aurangabad - Mahatma Gandhi Mission’s Jawaharlal Nehru Engineering College,Aurangabad,Maharashtra
"Government Polytechnic College, Cherthala",Cherthala,Kerala
"Anna University Regional Campus, Coimbatore",Coimbatore,Tamil Nadu
"Government Polytechnic, Lakhimpur Kheri",Lakhimpur Kheri,Uttar Pradesh
"GNA University, Phagwara",Phagwara,Punjab
"Swarrnim Startup and Innovation University, Gandhinagar",Bhoyan Rathod,Gujarat
"SNS College of Engineering, Coimbatore",Kurumbapalayam,Tamil Nadu
"Meerut Institute of Engineering and Technology, Meerut",Rampur Pawti,Uttar Pradesh
"Panipat Institute of Engineering and Technology, Panipat",Bapura,Haryana
"Indira Gandhi Engineering College, Sagar",Baheria Gadgad,Madhya Pradesh
"Buddha Polytechnic Institute, Gaya",Gaya,Bihar
"Government Polytechnic College, Bathinda",Bathinda,Punjab
"Ambition Institute of Technology, Varanasi",Varanasi,Uttar Pradesh
"Ch Ranbir Singh State Institute of Engineering and Technology, Jhajjar",Jhajjar,Haryana
"Rao Birender Singh State Institute of Engineering and Technology, Rewari",Zainabad,Haryana
"Rungta College of Engineering and Technology, Bhilai",Bhilai,Chhattisgarh
"Quantum School of Technology, Roorkee",Roorkee,Uttarakhand
"Nalla Malla Reddy Engineering College, Ghatkesar",Hyderabad,Telangana
"Indore Institute of Science and Technology, Indore",Indore,Madhya Pradesh
"Tolani Maritime Institute, Mumbai",Mumbai,Maharashtra
"Ganga Memorial College of Polytechnic, Nalanda",Nalanda,Bihar
"JSS Polytechnic For Women, Mysore",Mysuru,Karnataka
"AWH Polytechnic College, Kozhikode",Kuttikkattoor,Kerala
"AJ Institute of Engineering and Technology, Mangalore",Mangaluru,Karnataka
"ACE Engineering College, Ghatkesar",Ghatkesar,Telangana
"Anurag Engineering College, Kodad",Nalgonda,Telangana
"Sri Sai Ram Institute of Technology, Chennai",Chennai,Tamil Nadu
GEC Bhavnagar - Government Engineering College,Bhavnagar,Gujarat
"Hooghly Institute of Technology, Hooghly",Hooghly,West Bengal
"Karavali Institute of Technology, Mangalore",Mangaluru,Karnataka
"Sahrdaya College of Engineering and Technology, Thrissur",Thrissur,Kerala
"Hindustan Aviation Academy, Marathahalli",Bangalore,Karnataka
"Sinhgad College of Architecture, Pune",Pune,Maharashtra
"Deccan College of Engineering and Technology, Hyderabad",Hyderabad,Telangana
"Utkalmani Gopabandhu Institute of Engineering, Rourkela",Rourkela,Odisha
"Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University, Lucknow",Lucknow,Uttar Pradesh
"Shree Swaminarayan Institute of Technology, Bhat",Ahmedabad,Gujarat
"Gayatri Vidya Parishad College of Engineering for Women, Visakhapatnam",Visakhapatnam,Andhra Pradesh
"Government Sri Krishnarajendra Silver Jubilee Technological Institute, Bangalore",Bangalore,Karnataka
"Giani Zail Singh Campus College of Engineering and Technology, Maharaja Ranjit Singh Punjab Technical University, Bathinda",Bathinda,Punjab
REC Azamgarh - Rajkiya Engineering College,Sikraura,Uttar Pradesh
KSRCT Tiruchengode - KS Rangasamy College of Technology,Tiruchengode,Tamil Nadu
"Abha Gaikwad-Patil College of Engineering, Nagpur",Nagpur,Maharashtra
"KK Wagh Polytechnic, Nashik",Nashik,Maharashtra
"Sambalpur University Institute of Information Technology, Burla",Burla,Odisha
"National Sugar Institute, Kanpur",Kanpur,Uttar Pradesh
"University BDT College of Engineering, Davangere",Davanagere,Karnataka
"Muchhala Polytechnic, Thane",Thane,Maharashtra
"Government Polytechnic College, Ujjain",Ujjain,Madhya Pradesh
"Government College of Engineering, Kalahandi",Kalahandi,Odisha
"Kerala University of Fisheries and Ocean Studies, Kochi",Ernakulam,Kerala
SKUAST Jammu - Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu,Jammu,Jammu and Kashmir
"Dr DY Patil School of Engineering, Pune",Pune,Maharashtra
"Government Polytechnic, Bhaga",Dhanbad,Jharkhand
"Dr Shakuntala Misra National Rehabilitation University, Lucknow",Lucknow,Uttar Pradesh
"Vishwavidyalaya Engineering College Sarguja University, Surguja",Ambikapur,Chhattisgarh
"Jorhat Engineering College, Jorhat",Jorhat,Assam
"Raja Balwant Singh Engineering Technical Campus, Bichpuri",Bichpuri,Uttar Pradesh
"Apollo Institute of Engineering and Technology, Ahmedabad",Ahmedabad,Gujarat
"BGS Polytechnic, Chickballapur",Chikkaballapura,Karnataka
"Rajkiya Engineering College, Sonbhadra",Sonbhadra,Uttar Pradesh
"CSI Institute of Technology, Secunderabad",Hyderabad,Telangana
"Hansraj College, Delhi",New Delhi,Delhi
"QIS College of Engineering and Technology, Ongole",Vegamukkapalem,Andhra Pradesh
"Bharati Vidyapeeth College of Architecture, Pune",Pune,Maharashtra
"Baba Saheb Ambedkar Polytechnic, New Delhi",New Delhi,Delhi
"Contai Polytechnic, Contai",Contai,West Bengal
"Muthoot Institute of Technology and Science, Ernakulam",Thiruvaniyoor,Kerala
IISER Mohali - Indian Institute of Science Education and Research,Sahibzada Ajit Singh Nagar,Punjab
"Mewar University, Chittorgarh",Chittorgarh,Rajasthan
"Central University of Punjab, Bathinda",Bathinda,Punjab
"PACE Institute of Technology and Sciences, Ongole",Valluru,Andhra Pradesh
"Marathwada Mitra Mandal's College of Engineering, Pune",Pune,Maharashtra
"PSG College of Arts and Science, Coimbatore",Coimbatore,Tamil Nadu
"Government Polytechnic, Vijayawada",Vijayawada,Andhra Pradesh
"College of Engineering Roorkee, Roorkee",Roorkee,Uttarakhand
"LM Thapar School of Management, Thapar Institute of Engineering and Technology, Dera Bassi",Dera Bassi,Punjab
"Sipna College of Engineering and Technology, Amravati",Amravati,Maharashtra
"Maharashtra Animal and Fishery Sciences University, Nagpur",Nagpur,Maharashtra
"LBS College of Engineering, Kasaragod",Bovikanam,Kerala
"Bhubaneswar Engineering College, Bhubaneswar",Bhubaneswar,Odisha
"Jawaharlal Nehru Architecture and Fine Arts University, Hyderabad",Hyderabad,Telangana
"Film and Television Institute of India, Pune",Pune,Maharashtra
"Uttaranchal Institute of Technology, Dehradun",Dehradun,Uttarakhand
TKIET Warananagar - Tatyasaheb Kore Institute of Engineering and Technology,Kolhapur,Maharashtra
"Gurugram University, Gurugram",Gurugram,Haryana
"MCKV Institute of Engineering, Howrah",Howrah,West Bengal
IRTT Erode - Institute of Road and Transport Technology,Suriyampalayam,Tamil Nadu
"Government Polytechnic, Hisar",Hisar,Haryana
IIIT Bhubaneswar - International Institute of Information Technology,Bhubaneswar,Odisha
"Kakinada Institute of Technological Sciences, Ramachandrapuram",Ambikapalli Agrahaaram,Andhra Pradesh
"Institute for Design of Electrical Measuring Instruments, Mumbai",Mumbai,Maharashtra
"GD Goenka School of Engineering, Gurgaon",Sohna,Haryana
"Chhotubhai Gopalbhai Patel Institute of Technology, Bardoli",Bardoli,Gujarat
"Darshan Institute of Engineering and Technology, Rajkot",Rajkot,Gujarat
"Periyar Maniammai Institute of Science and Technology, Thanjavur",Thanjavur,Tamil Nadu
"Maulana Azad University, Jodhpur",Jodhpur,Rajasthan
